Año-Mes,Tasa_FED,CPI_Core_YoY,Tasa_Desempleo
1991-01,6.91,5.60,6.40
1991-02,6.25,5.65,6.60
1991-03,6.12,5.24,6.80
1991-04,5.91,5.15,6.70
1991-05,5.78,5.13,6.90
1991-06,5.90,4.96,6.90
1991-07,5.82,4.79,6.80
1991-08,5.66,4.61,6.90
1991-09,5.45,4.60,6.90
1991-10,5.21,4.43,7.00
1991-11,4.81,4.49,7.00
1991-12,4.43,4.40,7.30
1992-01,4.03,4.01,7.30
1992-02,4.06,3.71,7.40
1992-03,3.98,3.84,7.40
1992-04,3.73,3.83,7.40
1992-05,3.82,3.89,7.60
1992-06,3.76,3.74,7.80
1992-07,3.25,3.72,7.70
1992-08,3.30,3.50,7.60
1992-09,3.22,3.28,7.60
1992-10,3.10,3.55,7.30
1992-11,3.09,3.47,7.40
1992-12,2.92,3.39,7.40
1993-01,3.02,3.45,7.30
1993-02,3.03,3.58,7.10
1993-03,3.07,3.36,7.00
1993-04,2.96,3.49,7.10
1993-05,3.00,3.41,7.10
1993-06,3.04,3.40,7.00
1993-07,3.06,3.18,6.90
1993-08,3.03,3.31,6.80
1993-09,3.09,3.24,6.70
1993-10,2.99,3.09,6.80
1993-11,3.02,3.15,6.60
1993-12,2.96,3.14,6.50
1994-01,3.05,2.93,6.60
1994-02,3.25,2.79,6.60
1994-03,3.34,2.98,6.50
1994-04,3.56,2.71,6.40
1994-05,4.01,2.70,6.10
1994-06,4.25,2.83,6.10
1994-07,4.26,2.89,6.10
1994-08,4.47,2.81,6.00
1994-09,4.73,3.01,5.90
1994-10,4.76,2.87,5.80
1994-11,5.29,2.79,5.60
1994-12,5.45,2.59,5.50
1995-01,5.53,2.91,5.60
1995-02,5.92,2.97,5.40
1995-03,5.98,2.96,5.40
1995-04,6.05,3.15,5.80
1995-05,6.01,3.08,5.60
1995-06,6.00,3.01,5.60
1995-07,5.85,3.00,5.70
1995-08,5.74,2.99,5.70
1995-09,5.80,2.98,5.60
1995-10,5.76,3.11,5.50
1995-11,5.80,3.03,5.60
1995-12,5.60,3.03,5.60
1996-01,5.56,2.96,5.60
1996-02,5.22,2.89,5.50
1996-03,5.31,2.81,5.50
1996-04,5.22,2.62,5.60
1996-05,5.24,2.68,5.60
1996-06,5.27,2.67,5.30
1996-07,5.40,2.66,5.50
1996-08,5.22,2.60,5.10
1996-09,5.30,2.65,5.20
1996-10,5.24,2.52,5.20
1996-11,5.31,2.58,5.40
1996-12,5.29,2.64,5.40
1997-01,5.25,2.50,5.30
1997-02,5.19,2.50,5.20
1997-03,5.39,2.43,5.20
1997-04,5.51,2.61,5.10
1997-05,5.50,2.55,4.90
1997-06,5.56,2.42,5.00
1997-07,5.52,2.41,4.90
1997-08,5.54,2.29,4.80
1997-09,5.54,2.22,4.90
1997-10,5.50,2.28,4.70
1997-11,5.52,2.15,4.60
1997-12,5.50,2.27,4.70
1998-01,5.56,2.26,4.60
1998-02,5.51,2.26,4.60
1998-03,5.49,2.26,4.70
1998-04,5.45,2.13,4.30
1998-05,5.49,2.19,4.40
1998-06,5.56,2.24,4.50
1998-07,5.54,2.24,4.50
1998-08,5.55,2.47,4.50
1998-09,5.51,2.35,4.60
1998-10,5.07,2.23,4.50
1998-11,4.83,2.34,4.40
1998-12,4.68,2.45,4.40
1999-01,4.63,2.33,4.30
1999-02,4.76,2.15,4.40
1999-03,4.81,2.03,4.20
1999-04,4.74,2.20,4.30
1999-05,4.74,2.08,4.20
1999-06,4.76,1.96,4.30
1999-07,4.99,2.07,4.30
1999-08,5.07,1.90,4.20
1999-09,5.22,2.07,4.20
1999-10,5.20,2.12,4.10
1999-11,5.42,2.06,4.10
1999-12,5.30,1.88,4.00
2000-01,5.45,2.11,4.00
2000-02,5.73,2.16,4.10
2000-03,5.85,2.45,4.00
2000-04,6.02,2.27,3.80
2000-05,6.27,2.38,4.00
2000-06,6.53,2.55,4.00
2000-07,6.54,2.48,4.00
2000-08,6.50,2.59,4.10
2000-09,6.52,2.53,3.90
2000-10,6.51,2.53,3.90
2000-11,6.51,2.63,3.90
2000-12,6.40,2.57,3.90
2001-01,5.98,2.57,4.20
2001-02,5.49,2.79,4.20
2001-03,5.31,2.61,4.30
2001-04,4.80,2.66,4.40
2001-05,4.21,2.55,4.30
2001-06,3.97,2.71,4.50
2001-07,3.77,2.70,4.60
2001-08,3.65,2.64,4.90
2001-09,3.07,2.63,5.00
